review_text,rating,date,review_length
দাম হিসেবে গেঞ্জিটা অনেক ভালো ধন্যবাদ দার আজকে ডেলিভারি ম্যান ভাইয়ের ব্যবহারটা অনেক ভালো ছিলাম আপনারাও নিতে পারেন আশা করি ঠকবেন না ধন্যবাদ দারাজ ভালো একটি পণ্য দেওয়ার জন্য,5,20 May 2024,173
আলহামদুলিল্লাহ অনেক সুন্দর টি-শার্ট  অল্প দামে পরে মজা আছে গরমের জন্য বেস্ট সেলার ভাইকে ধন্যবাদ 🥰,5,10 Feb 2024,97
"অনেক সুন্দর হয়েছে. দারাজের কিছু মাল কিনে ঠুকছি
",5,03 Apr 2024,48
হামদুলিল্লাহ খুব ভালো হইছে যে ডিজাইন দিছি সেটাই পাইছি,5,19 Mar 2024,53
মোটামুটি ভালো আপনারা ও নিতেপারেন,5,28 Mar 2024,32
আলহামদুলিল্লাহ দাম হিসেবে গেঞ্জির কোয়ালিটি খুবি ভালো। ডেলিভারি ও দ্রুত পেয়েছি।গেঞ্জিগুলো পেয়ে আমি সন্তুষ্ট। ধন্যবাদ দারাজ এবং সেলারকে  ,5,22 Aug 2024,135
alhamdulillah je rokom ceyesi sei rokom paisi,5,05 Mar 2024,45
অনেক সুন্দর হয়েছে ,5,14 Mar 2024,18
২ টা অডার করছিলাম।খারাপ না তবে ১ টাতে লেবেল ছিলনা আর একটাতে ছিলো।তবে নিতে পারেন ভালো। ,4,12 Jul 2024,86
"মুটামুটি চলে। ভাবছিলাম কটন কাপড় হবে কিন্তু জার্সি কাপড়।   যাইহোক, আমার মুটামুটি ভালোই লেগেছে 👍🏻",4,07 May 2024,95
 মাশাআল্লাহ অনেক ভালো বাট চাই লাম কি কালার আর পাইলাম আরেক কালাল যাই হোক টি সার্ট টা অনেক ভালো ইস্কিন কেউ চাই লে নিতে পারেন অনেক ভালো  ,5,25 Dec 2025,134
"গেঞ্জিটা যেমন দেখানো হয়েছে ঠিক তেমন না গেঞ্জিটা সাদা কেউ নিবেন না প্রোডাক্টটি বেশি একটা ভালো না  গেঞ্জি
টা খুবই পাতলা  ",5,01 Oct 2025,120
"𝘛𝘢𝘣𝘢𝘴𝘴𝘶𝘮 𝘍𝘢𝘴𝘩𝘪𝘰𝘯 𝘓𝘛𝘋 কে অসংখ্য ধন্যাবাদ সুন্দর প্রডাক্ট দেওয়ার জন্য 🥰🥰
দাম অনুযায়ী আলহামদুলিল্লাহ ভালো জিনিস দিয়েছেন  ",5,30 Dec 2025,118
"T-shirt is quite good. I ordered the M size and the tree's photo of that wasn't full. It's an average one.  Recommend if you order just for wearing in indoor and not recommend if you wear outdoor. Shipping service was very good. The packaging was also verryyy muchh good.
 ",5,22 Jul 2025,273
"capor chise ak color ar desy Arak color, ar kamor ar quality Valo kinto , kopory moila lal color ar dag voira asa  ",5,16 Jul 2025,115
ভালোই পাইছি কিন্তু আমি ভুল করে দুইটা  অর্ডার করছিলাম সেগুলো রিটার্ন নিতে চাই পরে জোর করে রিটার্ন দিয়ে দি  ,5,26 Dec 2024,107
"গেঞ্জি গুলা খুবি ভালো, আমি ভাবছিলাম কটন কাপর কিন্তু এটা জারসি কাপর গরমে খুব খারাপ লাগে শিত কালের জন্য ঠিক আছে।কম দামে ভালই নিতে পারেন। ",5,23 Aug 2025,135
একদমই ভালো না একবারে বাজে কোয়ালিটি  দিছে  মানে ভ্যানের মধ্যে আছে সেগুলো টাইপের কোয়ালিটি অনেক খারাপ 😔লেখা ছিল ৬৬ টাকা ক্যাশ অন ডেলিভারি দিছে তাই আমার থেকে ১৬৬ টাকা নিয়েছে এটা দারাজের কোন নিয়মের  মধ্যে পড়ে কেউ নেবেন না একদমই বাজে কোয়ালিটি দেখাইছে cotton কাপড় দিছে মশারী কাপর কোয়ালিটি  বাজে কেউ নেবেন না daraz theke ay last order🙏scam✅ ,5,25 Nov 2025,340
ঠিক যেমন চেয়েছিলাম ঠিক তেমনি আছে সবাই নিতে পারেন ,5,27 Jun 2024,50
আলহামদুলিল্লাহ খুব ভালো প্রোডাক্ট যে রকম চেয়েছি ঠিক তেমনি পেয়েছি 🌸🥰 সবাই নিতে পারেন..  ,5,26 Jul 2025,89
"ekdom baje, kew niben nh, khub baje kapor,niye thokben,kapor er selai toh nai bollei chole ",5,12 Aug 2025,91
এটার কাপড় সুন্দর ছিল ভালো ছিল এবং ঢিলা ঢালী কমফোর্ট মনে হয়। আপনারা চাইলে নিতে পারেন। 🙄 ,5,13 Aug 2025,89
"ধন্যবাদ  দারাজকে এবং ডেলিভারি ম্যানকে  দ্রুতো ডেলিভাারি দেয়ার জন্য। সেলারকেও ধন্যবাদ ভালো পন্য দেয়ার জন্য। কিন্তু আমি ব্লাক এবং আকাশী কালার অর্ডার করেছিলাম হয়তো ভূলবসতো আমাকে নেভিব্লু আর ব্লাক দিয়েছে আশা করি ভবিষ্যতে এমন ভুল আর হবেনা। তবে দাম অনুযায়ী মাশাআল্লাহ পন্যের মান ঠিক আছে আপনারা চাইলে নিতে পারেন। 
 ",5,21 Aug 2024,308
 ৪টা অর্ডার করেছি ১টা ছেড়া দিয়েছে।  বাদ বাকি কোয়ালিটি ভালো। গরমে খুব আরাম হবে আশা করি। ,4,15 Aug 2025,87
"অর্ডার করলাম ব্ল্যাক ক্র্যাশ কালার টা 
 আর ডেলিভারি ম্যান এসে দিয়ে গেল সাদা
বাজে লোক ",5,09 Sep 2025,86
