review_text,rating,date,review_length
dam hisaby vloii ase ...nice products....r delivery man ar behaviour oo khob vlo chilo ..sob milay satisfied 😌🥰🥰🥰🥀🥀💝🌸 ,5,28 Aug 2024,118
 গেঞ্জিটা অনেক  ভালো আর আমি যেই সাইজ চেয়েছিলাম সেটাই পেয়েছি🖤🖤🖤🇧🇷🇧🇷🇧🇷 ,5,26 Aug 2024,71
আলহামদুলিল্লাহ খুব ভালো পণ্য পেয়েছি সেলার কে ধন্যবাদ এত কম দামে সুন্দর পণ্য দেওয়ার জন্য আশা করি আগামি তে আরো ভালো পণ্য দেবেন ,5,01 Aug 2024,125
"জিনিস টা খুবই দারুন দাম হিসেবে অনেক ভালো,,, তবে নিলে কালো টাই নিবেন,, কালো টা বেশি সুন্দর,, আমি স্যাটিসফাইড
আমি ইনশাআল্লাহ আরো নিবো,,,, এই প্রথম কোন জিনিস একদম মনের মতো হইছে,, দাম হিসেবে ১০০ তে ১০০  
এর চেয়ে বেশি আশা করা বোকামি 
আমি আজ ডেলিভারি পাইলাম ০৯-০৮-২০২৪  ",5,10 Aug 2024,264
"জার্সিটা অনেক ভালো ছিল, জার্সি হিসেবে কাপড় টা খুব পাতলা, আমার কাছে মনে হয়েছে দাম অনেক বেশি, তবে গরমের জন্য ভালো।সেলার কে অনেক ধন্যবাদ, আপনারা চাইলে নিতে পারেন, ধন্যবাদ।",4,10 Jul 2024,170
ভালো নিতেন পারেন তবে লোগোটা তেমন একটা ভালো না  ,5,29 Aug 2024,47
"এতো কম দামে এতো সুন্দর ❤️❤️
কল্পনা করতে পারি নি ❤️❤️
আমি ৩ টা নিছি 🥰🥰",5,04 Jul 2024,69
ভালোই হয়েছে এবং দাম কম ,5,23 Aug 2024,23
"I ordered, 3 t-shirt  in 3 different colours. the black and red one is okay. But unfortunately the ash colour t-shirt quality is not good. It's totally detected. and the t-shirt size is not L. They write the t-shirt size logo with using marker. Very disappointed!!! ",5,1 day ago,266
good delivery seller,5,12 Jun 2024,20
"মোটামুটি  ভালো আছে আপনারা নিতে পারেন।
আমি ৫ টা কিনেছি।
সেলার ভাই কে ধন্যবাদ। 
",3,10 Jul 2024,78
"যেমন চেযেছি তেমন পাইনাই

একেবারেই ফালতু জিনিস দিছে 
পাব ৪ টা দিছে একটা 🥴 ",5,31 Aug 2024,73
Valo but jersey kapor poira moja jai but onek patla..,4,06 Jul 2024,53
sob thik asa kinto order dise blue coller disa black clour ,4,29 Aug 2024,59
কাপড় ভালো কিন্তু এইটা সাইজ আরো বড় দেওয়ার দরকার খিছ🙂 ,5,24 Aug 2024,52
"এই দামে এতো ভালো জিনিস পাবো ভাবতেই পারিনাই
ধন্যবাদ দারাজ কে🥀🥰 ",5,11 Aug 2024,62
কাপড়টা অনেক পাতলা😞 কিন্তু দাম হিসাবে ঠিক আছে😊 ,5,29 Aug 2024,47
মোটামুটি এত কম টাকায় 😇 ,5,30 Aug 2024,24
দাম অনুযায়ী ঠিক আছে ,5,31 Aug 2024,20
"• Motamoti.  
temon valo nah ",5,19 Aug 2024,29
"valo ai goromer jonno nite paren 
 ",5,06 Aug 2024,35
"এই দামে ভালোই , এই গরমে খেলা - ধুলা করতে এইসব পাতলা জার্সি গুলো খুবই ভাল। অবশ্য কেউ শখে নিবেন না খেলা ধুলা বা অনেক গরমে পাতলা টি-সার্ট চাইলে এইখান থেকে নিতে পারেন সবাই।👍 

ব্রাজিল এর লোগো টা বেশি ছোট লাগছে বড় হলে ভালো হতো।  ",5,15 Oct 2024,224
"ভাই গেঞ্জিটা সম্পর্কে বলতে গেলে খুব অসাধারণ ধোকা 
গেঞ্জিটা আপনি পাঁচ মিনিটের জন্য পড়েও বাইরে যেতে পারবেন না প্লাস ঘর মোছার কাজও করতে পারবেন না এই হলো গেঞ্জির অবস্থা আর আপনার গায়ে যদি মিডিয়াম সাইজ লাগে তাহলে এক্সেল অর্ডার দিতে হবে তা না হলে আপনার গায়ে গেঞ্জিটা লাগবেও না মেজারমেন্ট খুবই বাজে আর গেঞ্জির কাপড়ের কথা না বললেই নয় অসাধারণ ফাউল কাপড়।  
এই গেঞ্জিটা আমি নিয়েছিলাম সত্য কথা বলতে পাঁচ মিনিটও গায়ে পড়তে পারিনি মিডিয়াম সাইজ দিয়েছিলাম তবে আমাকে দেয়া হয়েছে এক্সটা স্মল আরো দুই সাইজ ছোট। 

 ",5,10 Oct 2024,506
"Nice jersey but I have fear for the sticker, stickers can easily remove. seller should focus on the quality of the jersey thanks ",4,13 Feb 2025,129
"৯০টাকার দাম ডেলিভারি ৭০ টাকা =১৬০ টাকার তুলনায় ভালো হয়নি। 
সাইজ ও ছোট্ট। 
যার xl দরকার তাকে xxl অর্ডার করতে হবে। 
কাপরের কোয়ালিটি আরো ভালো হলে ভালো হতো  ",5,14 Nov 2024,153
কাপড় ঠিক আছে সাইজ ও ঠিক আছে রঙ ও ঠিক আছে। বেস্ট ডিল ছিল। ধন্যবাদ বিক্রেতা কে। তবে কাপড় টি পাতলা দাম হিসেবে এর থেকে ভালো কাপড় আশা করা যায় না ,5,06 Nov 2025,144
"কি আর বলবো সবই কপাল, আমি L সাইজ পরি দেখেন নিচের টাও L  সাইজ আর দারাজের L সাইজ, ৪বছরের একটা বাচ্চা ও এটা পড়তে পারবে না এতো টাইট। 😈😈😈😈 ",5,18 May 2025,133
"The t-shirt looks stylish and simple. The fabric feels comfortable and soft. The stitching is neat, and the color is exactly as shown. Overall, good quality with a nice appearance.

 ",5,27 Sep 2025,183
