review_text,rating,date,review_length
যেমন টা ছেয়েছি তার তে কে ও ভালো মানের জুতা পেয়েছি কোন সমস্যা হয় নাই আর ডেলিভারি ম্যান ও খুব ভালো মনের মানুষ ধন্যবাদ সেলার ভাই কে এবং ধারাজ কে আর ডেলিভারি ম্যান কে ,5,14 Mar 2025,163
খুবই পাতলা কয়েকদিন পায়ে দিলে মনে হয় ফাইটা যাবে এমন একটা অবস্থা একমাস পায়ে দিতে পারবে কিনা সন্দেহ ,5,09 Oct 2025,101
vai ato baje product pabo vabtew pari nai. product er pic dewa silo ki ar hate pailam ki. first time daraz theke ato baje product pelam👎 ,5,06 Sep 2025,137
"
যেমন টা ছেয়েছি তার তে কে ও ভালো মানের জুতা পেয়েছি কোন সমস্যা হয় নাই আর ডেলিভারি ম্যান ও খুব ভালো মনের মানুষ ধন্যবাদ সেলার ভাই কে এবং ধারাজ কে আর ডেলিভারি ম্যান কে ",5,24 Apr 2025,164
"ভাই এত খারাপ আসা করিনি এক তো সাইজ  ৪৪  ওডার দিছি আর দিছে ৪৩ এখন পায়ে দিলে একেবারে টাইট হয়    তার ওপর আবার এগুলা কি পুরাতোন জুতা মোনে হয় কেও ইউজ করে তার পর দিছে একে বারে বাজে,,,

তবে ডেলিভারি মেন ভালোছিল ",5,13 Sep 2025,203
আলহামদুলিল্লাহ দামের মধ্যেই ভালো পেয়েছি । দারাজ ও সেলার কে ধন্যবাদ এত সুন্দর করে পণ্য টি হাতে নাগালের মধ্যে এনে দিতে। এমন দামের মধ্যেই ভালো চাইলে আগ্ৰহের সাথে দেখেশুনে আপনারাও নিতে পারেন ♥️💯😊 ,5,20 Mar 2025,193
"""দামের তুলনায় জুতাগুলো অনেক ভালো মানের। তবে আমি একই সাইজ ও একই রঙের দুটি জোড়া অর্ডার করেছিলাম। কিন্তু একটি জোড়া ঠিকঠাক পেলেও, অন্য জোড়ার সাইজ ও রঙ মেলেনি।"" ",5,29 Mar 2025,156
"আলহামদুলিল্লাহ, ভালো একটি পণ্য পেয়েছি। এখন দারাজ আমার  কাছে বিশ্বস্ত হয়ে গিয়েছে। যার ইচ্ছা কিনতে পারেন।  ",5,08 Oct 2025,108
দাম অনুযায় ঠিক আছে কিন্তু। যেই ছবি দেয়া আছে পাইনি তা ছাড়া সব কিছু ঠিক আছে খারাপ না জুতা গুলো ভালোই  ,5,23 Mar 2025,103
"আলহামদুলিল্লাহ প্রোডাক্টি হাতে পেয়েছি,, দাম হিসেবে প্রোডাক্টটি মোটামুটি ভালো ধন্যবাদ দারাজ কে,,, আর ধন্যবাদ জানাই ডেলিভারি ম্যান কে  ",5,10 Jul 2025,134
