review_text,rating,date,review_length
"দেখতে ভালো লাগতেচে৷  কিন্তু দিনের নাম গুলো ডাবল আছে
।।।
চেইন পাকা,,, মরিচা ধরচে,৷ 
এটা অরিজিনাল নয় কপি,,,,,
কেও নিয়েন না,,,👎👎👎👎👎👎👎👎👎👎👎 ",5,10 Nov 2024,135
"ঘড়িটি একদম বাজে কপি প্রোডাক্ট। যখন দিয়েছে তখন ব্যাটারি ছিল না আমি ব্যাটারি লাগানোর পর কিছু সময় চলে আবার বন্ধ হয়ে যায় আবার একটু নাড়া দিলে আবার কিছু সময় চলে। আপনারা কেউ এই ঘড়িটি নিবেন না একদম যে কয় টাকা দিয়ে নেবেন সেই কয় টাকায় নষ্ট হবে। নষ্ট প্রোডাক্ট বাতিল ঘড়ি, একদিন ব্যবহার করতে পারলাম না। ",5,26 Sep 2025,304
মোটামুটি যা যা দেখায় কিন্তু তার কিছুই নাই। সর্বপরি খারাপ না চলে যে কয়দিন যায় ,5,07 Apr 2025,77
"এটা অরিজিনাল অলিভস ঘড়ি নয়। এক মাস হয় নি মরিচা পরা শুরু হয়েছে চেইনের ফাকে ফাকে।\n২য় ছবি, লকটা দু সাইড থেকে হয় এটা সেই মানদত্তা আমলের। \nরিভিউ জন্য সময় না পাওয়ায় দেরি হয়েছে ",5,03 Aug 2024,171
"আলহামদুলিল্লাহ টাকা হিসেবে অনেক ভাল, মানসম্মত পন্য/ ঘড়ি পেয়েছি।  ",5,27 Aug 2025,65
যেমন দেখা গেছে আগে তেমন নাহ ,5,02 Aug 2025,28
আলহামদুলিল্লাহ অনেক সুন্দর  ,5,08 Nov 2025,28
Scratch er jonno pura mon kharap hoye geche.Product ta pawar por bhalo kore dekhi pichone scratch pora.Tanahole product ta bhaloi hoto ,5,19 Mar 2025,135
ঘড়িটি খুব ভালো। darazamare খুব একটি ভালো একটি পণ্য দিয়েছে। তা যেন অসংখ্য ধন্যবাদ। এত কম দেওয়ার মত এত ভালো জিনিস। ,5,14 Dec 2025,116
যেমন দেখেছিলাম ঠিক তেমনি আছে। অর্ডার দেওয়ার পরের দিনই রাজশাহীতে পেয়ে গেছি। এখন কেমন হবে ব্যবহার না করে বলতে পারছি না তবে আশা করা যায় আলহামদুলিল্লাহ ভালই হবে। স ,5,12 Nov 2025,163
Jinis ta kharap Na Tobe price hisabe aro quality valo hoya dorkar . Kaboli pailam then dhki akjaigai color uthea 🫠😫  ,5,11 Oct 2025,117
"। অনলাইনে ছবি দেখে অর্ডার করেছিলাম, কিন্তু হাতে পাওয়ার পর ঘড়িটির গুণগত মান (quality) একেবারেই ভালো মনে হলো না। ফিনিশিং খুবই খারাপ এবং যা দেখেছিলাম, তার চেয়ে অনেক নিম্নমানের মনে হচ্ছে। টাকা নষ্ট হলো, অন্য কাউকে এই ঘড়িটি কেনার পরামর্শ দেব না। ",5,25 Sep 2025,244
"সবেমাত্র parcel পেলাম। সেলার ভাই, খুবই আন্তরিক ছিলেন। product যেমন চেয়েছিলাম তেমনি পেয়েছি। নিখুঁত। ধন্যবাদ দারাজ অ্যাপকে, সেলার ভাইকে।  ",5,18 Dec 2025,138
আলহামদুলিল্লাহ পন্য হাতে পেয়েছি কিন্ত নকল। আসল আর নকলে ছবি দেওয়া আছে master copy হলেও হতো 3rd class😬 ,5,17 Jan 2026,101
"ঘড়িটা একদম ফালতু, ৪৫০ টাকাই আমার লস,ফুটপাতে বিক্রি করে এটা ২০০থেকে ২৩০ টাকা করে, দারাজ একদম ফালতু হয়ে গেছে।😡😡
ঘরিটার সাথে একটা কাগজ পর্যন্ত নেই,
জাস্ট একরা পলিতে করে দিয়ে দিছে। ",5,20 Apr 2025,178
এইটা ঘড়ি আপনারা স্বল্প মূল্যে নিতে পারেন আর এই ঘড়িটা ওয়াটারপ্রুফ না এটা আমার কাছে খারাপ লাগলো এমনি অনেক কোয়ালিটি ফুল ভালো আছে আপনারা নিতে বিদায় ,5,18 Sep 2025,149
আমি কি ভাই দারাজ থেকে এই ঘড়িটা অর্ডার দিয়েছিলাম আমি কি ভাই দারাজ থেকে এই ঘড়িটা অর্ডার দিয়েছিলাম 😭😭😭 ,5,22 Jun 2025,104
"আজ পেলাম। দাম অনুযায়ী খারাপ না,মনে হয় ভালো হবে। ব্যবহারের পর বুঝা যাবে।  অর্ডারের ঘড়ির সাথে ৯২ পার্সেন্ট মিল আছে। 
ডেলিভারি ম্যান এর ব্যবহার খুবই ভালো। 
সর্বোপরি ধন্যবাদ দারাজ কে!! ",5,21 Aug 2025,183
"আলহামদুলিল্লাহ আমি দুইটা অর্ডার করছিলাম আমারা দুই বন্ধুর জন্য দুইটা আজকে প্রোডাক্ট হাতে পেলাম আলহামদুলিল্লাহ ঘড়ি দুইটাই অনেক ভালোই আসা করাযায় ব্যবহার করতে কোন সমস্যা হবেনা ইনশাআল্লাহ 
প্রোডাক্ট দুইটাই আমার কাছে অনেক ভালোই মনে হচ্ছে
আপনারাও চাইলে নিতে পারেন  ",5,26 Nov 2025,260
"At first I thought I would buy it from Daraz😁😁 but I saw that they have very good prices and the products are good. If you want, you can take it. The products are quite good for the price. 😊😊 ",5,4 weeks ago,192
amazing product! Ami duita order korechilam vabsilam box dibe kintu box dey nai but packaging jothesto valo maner chilo r product to Mashallah Joss  ,5,23 Mar 2025,149
স্বল্প মূল্যের মধ্যে প্রোডাক্ট টি যথেষ্ট ভালো। ঠিক যেমনটা দেখেছিলাম তেমনটাই পেয়েছি। আপনারা ও চাইলে নিতে পারেন। ,5,21 Dec 2025,112
"আলহামদুলিল্লাহ! ফার্স্ট টাইম দারাজে অর্ডার করেছি, দাম অনুযায়ী প্রোডাক্ট মোটামুটি ভালো আছে, ডেলিভারি বয় ও অনেক ভালো,বাট প্যাকেজিং আরো একটু ভালো হওয়া দরকার ছিলো,শুকরিয়া!! ",5,09 Jan 2026,169
আলহামদুলিল্লাহ অরজিনাল প্রোডাক্টই দিয়েছে সাথে ওয়ারেন্টি কার্ড কিন্তু এখানে দুঃখজনক ব্যাপার হইলো এটা সাথে কোন বক্স দেয়নি ঘড়িটাও মাশাল্লাহ অরজিনাল এবং সুন্দর দেখতে thank you daras ,5,21 Jan 2026,182
ঘড়িটার কোয়ালিটি দেখতে ভাল তবে ঘড়ির চেইনটা খুব নড়েবরে।আমি হাতে নেওয়ার পরই চেইন গুলো খুলে আসতেছিল।পরে আমি প্লাস দিয়ে চাপ দিয়ে ঠিক করেছি। ,5,13 Nov 2025,135
"ভাই একটা ঘড়ির সমস্যা।একটা রিটান করতে চাই।ঘড়ি টা যেমন চাইছি তেমন পাইনাই।ঘড়ি টা চেঞ্জ করে দেন।ইমারজেন্সি প্রয়োজন
c ",5,07 Apr 2025,117
"মাশাল্লাহ দাম হিসেবে ঘড়িটি ভালো,, কিন্তু যারা বাটারফ্লাই লক হিসেবে নিবেন এটা কিন্তু বাটারফ্লাই লক না,, এটা হল সাধারন লক অবশ্যই রিভিউ দেখে নিবেন ",5,15 Jan 2026,145
"আলহামদুলিল্লাহ, যদিও ঘড়িটা অলিভের অরিজিনাল না তবুও ঘড়িটা ভাল ছিল মানসম্মত আছে। ধন্যবাদ দারাজ ও সেলার কে।  ",5,12 Apr 2025,108
যেমনটা আমি অন্যান্য দোকানে সামনাসামনি দেখেছি এটা ওরকম নয়। এটা খুবই পাতলা কিছুটা ওয়েট আছে। এটার লুকিং সিস্টেমের যে অংশটি আছে এটি খুবই দুর্বল মোটামুটি চলে। তবে এটি হচ্ছে নরমালি ফুটপাতে আড়াইশো টাকায় যেগুলো পাওয়া যায় ওইটাই অরজিনাল বা মাস্টার কপির মত নয় যেগুলো সচরাচর আমরা মার্কেটের দোকানে দেখে থাকি। ,5,03 Jan 2026,303
"আলহামদুলিল্লাহ ভালই পাইলাম এখন ব্যবহার এর পালা, সেলার অনেক ভাল বাড়িতে এসে দিয়ে গিয়েছে, ব্যভার ভাল পাইলাম, প্যাকেজিং অনেক সুন্দর ",5,28 May 2025,128
dam onujay  khub valo ghori apnara chaile nite paren ami 9 din pore review dilam ami dui ta nisi ar delivary men khub valo chilo daraz ke oshongkho donno bad 🥰🥰🥰 ,5,13 Jun 2025,162
jemonta cheyechi temon ta peyechi. seller vai ke donnobad. ar delivery man vai tar o behaviour valo chilo ,5,10 Jan 2026,106
The watch is very beautiful. A little light. But it's okay for the price. It's a copy of the master.  ,5,11 Sep 2025,102
প্যাকিং খোলার পর এই দেখি সময় ঠিক করার পিন টা ভাঙ্গা। আর হাতে নেওয়ার পর মনে হচ্ছে না এইটা অরিজিনাল OLEVS এর ঘড়ি। ,5,14 Nov 2024,112
"কিছুদিন ব্যবহার করে রিভিউ দিলাম,দাম অনুযায়ী প্রোডাক্টটা খুবই সুন্দর আপনারা চাইলে নিতে পারেন। প্রোডাক্টটি সুন্দরভাবে হাতে পেয়েছি সুন্দরভাবে রেপিং এবং প্যাকেজিং করা ছিল।
 ",5,29 Dec 2025,171
ছবিতে যে রকম দেখিয়েছে ঘড়িটা সে রকম না।এটা হচ্ছে কপি কোন OLEVS এর  স্টিকার নেই। এটা গ্রাহকদের সাথে প্রতারণা করা ছাড়া আর কিছুই না।  ,5,07 Sep 2025,131
"khubi low quality  ekdom cheap jaygay jaygay rong uthe jay, Date change kora jay na and day to 2 ta kore deya purai ekta jott mal. 
so I recommend jodi taka noshto na korte chan ei product ta niyen na.  ",1,24 Mar 2025,203
Mid Quality! Found the presence of a defect! I wish they'd be more careful before sending a product like this! ,5,29 Dec 2025,111
দাম হিসাবে মোটামুটি ভালো আপনারা চাইলে নিতে পারেন কোয়ালিটিটা মোটামুটি চলে তবে এই দামে অনেক সুন্দর একটা প্রোডাক্ট ধন্যবাদ  ,5,14 Jun 2025,122
"ঘড়িটা ছবিতে যা দেখছি তার থেকে একটু ছোট  .
আর ঘড়িটা আমার থেকে ভালোই  লেগেছে .
সবাই  চাইলে নিতে পারেন .
ধন্যবাদ Daraz. ",5,08 Mar 2025,119
আলহামদুলিল্লাহ  ঘড়ি টা খুব সুন্দর। আমি কয়েক দিন ব্যবহার করে রিভিউ দিলাম।ডেলিভারি ম্যান ভাই টা ও অনেক  ভদ্র।  ,5,05 Dec 2024,109
বলা হয়েছিল ডিসকাউনে ভালো জিনিস দেবে কিন্তু ফালতু একটা ঘড়ি দিছে দেশে ২০০ টাকা দামে ঘড়ি দিয়ে বলছে ডিসকাউন্টে দিছে বেলগুলো স্টুলে থাকার কথা ছিল ওগুলো সব ট্রেনের ডিটি সিস্টেমও ভালো না মানুষকে খালি ধোকা দেওয়া হয় ,5,15 Nov 2025,213
"যেমন দেখেছিলাম ঠিক তেমনি পেয়েছি, কোয়ালিটিও ভালো আছে; ৪৮৬ টাকা হিসাবে ভালো একটি ঘড়ি, কিন্তু অর্ডার করার 2 দিন পর দেখি সেম ঘড়ি 3 in 1 sell এর মধ্যে ৩৭৫ টাকা পরে অর্ডার করলে আরো কমে পেতে পারতাম তাও এটাও খারাপ নাহ, ভালো আছে! ",5,22 Dec 2024,221
ধন্যবাদ শেলার ভাইকে যেরকমটা অর্ডার দিয়েছি সেরকম পেয়েছি অনেক ভালো একটা ঘড়ি অনেক সুন্দর আপনারা চাইলে নিতে পারেন  ,5,30 Sep 2024,114
আল্লাহামদুলিল্লাহ আমি ঘড়িটি পেয়েছি। ঘড়িটি ছবি যেমন দেখেছি আমি তেমন পেয়েছি ঘড়িটি অনেক সুন্দর। 🥰🥰🥰 ,5,13 Dec 2025,102
"ঘড়ির দিকে ভালো করে তাকালে বুঝা যাবে এটা কি ভালো দিয়েছে নাকি খারাপ দিয়েছে। 

সেকেন্ডের কাটার দিকে তাকালে বুঝবেন

 ",5,19 Dec 2024,114
"আলহামদুলিল্লাহ দাম হিসেবে খুবই ভালো প্রোডাক্ট এবং ডেলিভারি ম্যান খুবই ভালো ধন্যবাদ,
কতদিন যায় সেটাই হলো কথা 🥰 ",5,17 Jul 2025,111
হাত ঘড়িটা ভাল। হালকা আছে। তবে ঘড়ির চাবীটা ছোট ছিল তাই খুলে যাচ্ছিল।পরে ঘড়ির মেকানিক দিয়ে ৫০ টাকা দিয়ে ঠিক করাই নিয়েছি।  ,5,29 Apr 2025,120
আলহামদুলিল্লাহ অরজিনাল প্রোডাক্টই দিয়েছে সাথে ওয়ারেন্টি কার্ড কিন্তু এখানে দুঃখজনক ব্যাপার হইলো এটা সাথে কোন বক্স দেয়নি ঘড়িটাও মাশাল্লাহ অরজিনাল এবং সুন্দর দেখতে thank you daras ,5,10 Mar 2025,182
"জ্বি আলহামদুলিল্লাহ ঘড়িটি মোটামুটি ভালো আছে আমি যেটা অর্ডার দিয়েছিলাম সেইটাই পেয়েছি ধন্যবাদ দারাজ কে । 
 ❤️❤️❤️ ",5,24 Apr 2025,115
"ঠিকঠাক মতো হাতে পেয়েছি, কিন্তু ডেলিভারি পাইছি অনেক দেরিতে অনেকদিন সময় লেগে গেছে এটা কখনো আশা করিনি  ",5,13 Apr 2025,102
ছবির মতই পেয়েছি। দেখতেও সুন্দর। একদম ফ্রেস। এখন ব্যভার করে দেখি কতদিন টেকসই হয়। ডেলিভারিম্যানকেও ধন্যবাদ। ভালো ব্যবহার ও অসাধারণ সার্ভিস দেয়ার জন্য।  ,5,13 Mar 2025,150
প্রোডাক্টটি হাতে পেয়েছি ভালোই আছে মোটামুটি তবে বক্সে থাকলে আরো সুন্দর হতো দয়া করে বক্সে দেওয়ার চেষ্টা করবেন ,5,13 Sep 2025,111
"olevs er original watch na eta,,,duplicate eta.
tobe dam onujai thik ache....original er pic diya manusre thokano ucit na 🙂  ",5,24 Jan 2026,125
প্রোডাক্ট হাতে পেয়েছি। যেরকম আশা করেছিলাম সেরকম পাইনি। কিছুটা ছোট। আর বাকি সব ঠিক আছে। ঘড়িটি দেখতে খুব সুন্দর। ,5,25 Nov 2025,113
"ভালো লাগছে তাই নিলাম কিন্তু চেইনের কালার এখন থেকে কিছুটা চলে যাচ্ছে, মনে হয় কালার লাস্টিং করবে না? ",4,29 Sep 2024,99
খুব সুন্দর হয়েছে লেডিস হাত ঘড়ি।খুব অল্প সময়ের মধ্যে পেয়ে গেলাম। অসংখ্য ধন্যবাদ দারাজ অনলাইন সেবা। ,5,14 Apr 2025,98
দামের তুলনায় প্রোডাক্ট টি আসলেই অনেক ভালো। ভারী চেইন। হাতে নিলে প্রিমিয়াম প্রিমিয়াম ভাইব আসে। ,5,30 Nov 2025,97
"মেটা মুটি ভালোয় আছে,,,,,,নো পরবলেম,,,,, নিতে পারেন,,,এমনকি ডেলিবারি বয় ও ঘড়িটা নিতে চেয়ে ছিল😩 ",5,06 Jan 2026,94
আমি ডারাজ থেকে খুব আনন্দিত আমি খুব ভালো ব্যবহার পেয়েছি আর ভালো সেবা পেয়েছি  ধন্যবাদ ডারাজ কে ,5,19 Nov 2025,93
মাশাল্লাহ গুণে মানে খুবই ভালো তবে অলিভস কম্পানি কিন্তু ছবিতে কোয়ার্টিস লেখা ছিলো এখানে নাই ,5,16 Apr 2025,92
৪ টা প্রোডাক্ট অর্ডার করেছিলাম তার মধ্যে  ঘড়িটায় সব থেকে ভালো হয়েছে। ধন্যবাদ Daraz & seller ,5,07 May 2025,92
"মোটা মোটি চলে কিন্তু হাতে বড় হয়ে গেছে কি করবো মিয়া😩🤧
তাড়াতাড়ি ছোট তাই দেন মুই চিকনা👀🤡 ",5,21 Dec 2024,86
