review_text,rating,date,review_length
পাঁচ প্যাকেট কদম ফুল এবং একটি থার্মোমিটার ডি কয়েন দিয়ে এবং ৪৫ টাকা ডেলিভারি চার্জ সহ সর্বমোট ৮৮ টাকা পড়ছে। কদম ফুল গুলার মেয়াদও ছিল যথেষ্ট। শুধু লাল কদম ফুল এর উৎপাদন এক বছর আগে হয়েছিল। থার্মোমিটার টাও ভালোই ছিল ,5,17 Nov 2024,217
"Privacy maintain kore dewa hoiche. box er vitor products chilo. Expire date o valoi chilo. 3dine delivery peyechi. toy sell memota box er sathe valo vabe atke dile valo hoto, je kew cailei hat diye ulte dekhte parbe ki ki product ache vitore. baki sob thik e ache. ",4,28 Mar 2025,265
আলহামদুলিল্লাহ প্রোডাক্ট ভালো আছে আপনারা চাইলে নিতে পারেন ধন্যবাদ দারাজ কে 🤩🥰😍 ,5,15 Dec 2024,79
The product is very nice we all can take it I took six pieces in total ,5,27 Sep 2025,71
মোটামুটি ভালো আছে আপনারা নিতে পারেন কোনো সমস্যা নেই  ,5,21 Dec 2024,53
অনেক ভালো প্রোডাক্ট মেয়াদ ও আছে 1-2 বছর প্রোর্যন্ত ,5,19 Apr 2025,52
পাশের বাড়ির কাকিকে ঠাপিয়ে আসলাম।শুধু  ঘ্রান।প্রথমবার ২ মিনিটে আউট হয়ে যায়। পরবর্তীতে একটানা ৩৫ মিনিট ঠাপালাম ভাবছি কনডম ছিড়ে যেতে পারে  কিন্তু না।খুবই ভালো ,5,10 Oct 2023,156
"perfect .
Was buying it for masturbation though  ",5,22 Dec 2024,49
good packaging and everything looks alright ,5,20 May 2025,44
"অনেক ধন্যবাদ,মেয়াদ ২০৩০ সাল পর্যন্ত আছে। ",5,20 Nov 2025,41
good ,5,28 Dec 2024,5
গতডৃসমজ ,5,01 Jan 2026,8
good ,5,20 Nov 2024,5
Great 👍 ,5,27 Jul 2025,8
"Good product,good package,good price,all is good.(Trusted Seller)",3,01 Jan 2022,65
"সঠিক পণ্য পেয়েছি,তবে প্যাকেজিং আরো ভালো করা উচিত। তাছাড়া সব ঠিক আছে। ধন্যবাদ দারাজ ❤️",4,26 Jul 2021,87
"They gave me exactly the right product, the seller is very good, I ordered 4 different flavors and they gave them exactly, and the packaging is very safe and very good.",5,24 May 2023,168
ভালো কোয়ালিটি। প্যাকিং ভালো ছিলো। খুব দ্রুত পেয়েছি।,5,08 Jan 2022,51
everything was perfect.  delivery was very fast. just in 2 days. thanks seller for the sweet gift..💖💖... i gifted the ice-cream. so its not in the pic. recommended. ,5,10 Nov 2023,165
Bought At 20 BDT........... Product Was In Good Condition.......... Cheaper Than The Market Price............Product Has Enough Expiry Date.......... Packet Could Be Put In A Small Paper Bag For Privacy Reasons............. 🙂,5,12 Feb 2022,225
"প্রোডাক্ট: ১০/১০
প্যাকেজিং: ১০/১০
সব গুলার ই মেয়াদ আছে ২০২৫-২০২৬ সাল পর্যন্ত। 
আমি অর্ডার করি ১২ এপ্রিল সন্ধ্যার সময়। আজ ১৬ এপ্রিল সকালেই প্রোডাক্ট হাতে পেলাম।
এরপর আবার অর্ডার করলে এখান থেকেই করবো।
সত্যি বলতে অনলাইন শপিংয়ে দারাজ ই আমার কাছে সবচেয়ে সেরা মনে হয়। 
দারাজের সব থেকে ভালো ব্যাপার হচ্ছে এরা গোপনীয়তা রক্ষা করে প্রোডাক্ট সরবরাহ করে থাকে।
আমার মতো যারা আছে দোকানে গিয়ে এমন প্রোডাক্ট কিনতে লজ্জা পান তাদের জন্য দারাজ ই একমাত্র ভরসা। ",5,16 Apr 2022,444
Packaging ta khub valo chilo.Delivery fast chilo.Sob thik thak peyechi.R Expire date o onek beshi.. Thanks ❤️,5,12 Jun 2021,109
