review_text,rating,date,review_length
alhamdulillah jemon cheyechilam temoni peyechi ...khub valo hoyeche products... choice ke dhonnobad sob gulo product thik vabe dewar jonno  ... thanks 😍🥰🥰 ,5,23 Mar 2025,155
"Jemon dekha jasse thik temon color na holeo kasakasi but white color gherta nai, dekhay ak design dey ar ak design ",5,02 Jun 2025,115
"If you don't think it's important for something that's less expensive, just check to see if the color is right. মেরুল কালারের দেওয়ার কথা দিয়েছেন লাল কালারের এইটা কম দামে দেকে যা খুশি তাই করবেন প্যাকেট খুলে দেখি লাল কালারের এমনিতি সেলাই ভালো না মানলাম কম দামে সেলাই এরকমই হয় কিন্তু কালারের ব্যাপারে সচেতন না ক্যান আপনাদের বেতন দেই না কম্পানি কেন মেরুন কালারের জায়গায় লাল কালারের টা দিলেন জবাব দিতে হবে আপনাকে আমি সত্য তুলে ধরলাম চেন্জ করে দিলে ম্যাসেজ দিবেন মেরুন কালারের দিয়ে যাবেন লাল কালারের টা নিয়ে যান এইটা কি করবো চেন্জ করে দিবেন না দিবেন না জানাবেন দয়া করে প্লিজ জানাবেন ",5,28 Jun 2025,585
নাইট ড্রেসটা খুব সুন্দর হয়েছে দাম অনুযায়ী অনেক ভালো প্রডাক্ট সাবাই নিতে পারেন এবং অনেক ধন্যবাদ জানাই সেলারকে  ,5,24 Aug 2025,110
"হাত /বুকে ও নিচের সাদা লেইছ নাই।

এমনকি উপরের কটির হাত খাটো 🥴 ছবিতে দেখা যাচ্ছে 3 কোয়াটার,,এনে দেখি খাটো 👿 ",1,15 Jun 2025,107
"এর packaging  টা ভালোই ছিল, কিন্ত কাপড়ের ফিতা ছিলো একটা ভিতরের দিকে,আরেকটা ছিল বাহিরের দিকে,
এবং এক ফিতার ডিজাইন ছিল, একটার ছিল না,,😔🥰
এমনিতেই সব কিছুই ঠিক আছে।
দাম অনুযায়ী কাপর ও মোটামোটি ভালো। 
((😌এটা সম্পূর্ণ  সেলাই করে নিলে অনেক দিন পড়া যাবে🥰))🥰🥰
আপনারা চাইলে দেখে শুনে নিতে পারেন 🥰 ",5,06 Aug 2025,289
price hisebe khub e vlo but ami vul e M size order koreci amr lagto L size ki r kora vul ta to amr e hyece tai nijer upor disappointed  ,5,11 Jul 2025,136
"Vai amk moyla ponno kno dicen,apnader delivery taka dice kapor ar taka diche,bakpari kno korlen,Ans diben kapor ta ke korbo janan, ",5,29 Jul 2025,131
কাপড়ের কোয়ালিটি ভালো না অনেক কমা কাপড় তারপরও মডেল যেমন দেখাইছে মডেলের কাপড়ের গায়ে লেজ বসানো আছে সাদা কালার কিন্তু যেটা দিয়েছে সেটাতে কোন লেজ বাঁচানো নাই অনেক ছোট দারাজ থেকে এমনটা আশা করি নাই  ,5,10 Jul 2025,198
"205 টাকার প্রোডাক্টটা পাই, কোয়ালিটি এতটা ভালো না সেলাই ফিনিশিং ভালো না। সাইজ ছোট মনে হচ্ছে ",4,06 May 2025,92
"ফালতু ফাসনো ড্রেস দিয়েছে।
  দেখে কেনো দেওয়া হয়না। দারজের কোয়ালিটি দিনদিন খারাপ হচ্ছে।  ",5,21 Aug 2025,88
"ড্রেস যেইটা অর্ডার দিছি অইটা দেয়নি অন্য এক্টা দিছে 
তবে মোঠা মুটি ভালোই খারাপ্না  ",5,30 Jul 2025,82
"এটা দাম অনুযায়ী মোটামুটি চলে,। সেলার ট্রাই করছে তাই ধন্যবাদ তাদেরকে। ",4,18 May 2025,69
একদম বাজে। দেখাইছে একটা দিছে আরেকটা। ১০০ টাকার পণ্যও না। ,5,09 May 2025,57
গেন্জি গুলো মোটামুটি ভালোই। ধন্যবাদ দারাজ কে☣️☣️☣️ ,5,02 Jun 2025,51
দাম হিসেবে খুবই ভালো লাগলে নিতে পারেন  ,5,20 Mar 2025,39
মোটামুটি এতো ভালো না। কাপড় সুবিধার না। ,5,23 Nov 2025,39
thanks a lots.good product.satisfied  ,5,06 Jan 2026,38
দাম অনুযায়ী ঠিক আছে। সেলারকে ধন্যবাদ  ,5,05 Jun 2025,38
"niyechi 5 ta jonin r firi pelam 3 ta
 ",5,29 Apr 2025,38
Cloth quality could have been better. ,5,18 Jun 2025,38
Valoi to clo.. kapor ta khub gorom ,5,01 Jul 2025,35
