review_text,rating,date,review_length
ফ্রেন্ড দেওয়ার কথা ছিল একটা ফ্রেন্ড দিয়েছে অন্যটা  ,5,02 Sep 2025,53
লেংটা ছবিতে যেরকম দেখাই ছিল ওর সাথে কোন কিছুই মিলে না পুরাই ফালতু একটা প্যান্ট একদম পুরান পেন্ট আরো অনেক ছোট বাচ্চাদের প্যান্ট দিয়ে গেছে আমি বিশ্বাস করে প্যাকেজ খুলি নাই ওইখানে বাসায় এনে দেখি এই  অবস্থা 🤬🤬🤬🤬 ,5,10 Jul 2025,210
"এই দুইটা ফ্যান অবস্থা বেশি খারাপ দুইটার একটাও আমার সাইজের না এখানে একটা আমার থেকেও সাইজের ছোট আরেকটা আমার বাপের সাইজের 
 ",5,3 days ago,121
সবই ঠিকঠাক আছে শুধু চার্জারটা নষ্ট যদি কেউ কিনেন দেখে কিনবেন  ,5,02 Jun 2025,62
আমার এই ফ্যানটা আসে নাই দয়া করে আমার সমস্যা সমাধান করে দেন ,5,18 Nov 2025,60
এতো চুটো কেন আর কালারও উটে জাবে  ,5,25 May 2025,33
রিতান ,5,25 May 2025,6
আপনারা ফাইজলামি শুরু করছেন আমরা অর্ডার দেই একটা আপনারা ইউজ করা মাল  পাঠাই দেন সামনে পেলে না একদম বুঝাই দিতাম কত ধানে কত চাল ফাইজলামি শুরু করতেন তাই না  টাকা কি বড়দের পিছু দিয়ে আসে ,5,12 Jul 2025,182
reicved product or display pic not same .or quite and Brad also defended. ,1,02 Jun 2025,74
খুব বাজে কেউ নিবেন না।যেরা অর্ডার করছি সেটা দে নাই  ,5,28 May 2025,52
আমি তো এই প্রডাক্ট্র ওয়াডার করি নাই এটা কেন দিছেন ,5,26 May 2025,51
দাম হিসাবে ঠিক আছে। চাইলে নিতে পারেন।,5,23 May 2025,37
ভালো ছিল না যেরকম দেখছি তা পায়নি  ,5,22 Aug 2025,34
jmn ta dekaysen tmn ta dey nee ,5,31 May 2025,31
অর্ডার করছি একটা দিছে না একটা  ,5,19 Jun 2025,31
দামের তুলনাই ভাল ছিল।,5,23 May 2025,21
খুব বাজে চিলো😫 ,5,28 May 2025,15
নাইস  ,5,30 May 2025,6
"ripot
 ",5,13 Jul 2025,7
,5,1 week ago,0
