review_text,rating,date,review_length
onk Valo product.thank you daraz.😊😊,4,01 May 2024,35
"The parcel was really good, you can take it even if you want🖤",4,02 Apr 2024,61
Thank you seller. I ordered two. Both of them is black. Thank you Daraz. Thank you the Delivery Man.  ,5,24 Apr 2025,102
দারাজ কোম্পানিকে অসংখ্য ধন্যবাদ এত তাড়াতাড়ি মাল সেল দেওয়ার জন্য সাইজে এত ছোট দিছে পড়ব কিভাবে আমি সাইজ দিছিলাম L আপনারা কি করলেন ছোট সাইজ দিছেন এখন আমি কি করবো আমি কি পড়তে পারব এটা আপনাদের উপর থেকে আমার বিশ্বাস উঠে গেছে আপনারা কেন ছোট সাইজ দিলেন ,5,16 Oct 2025,250
"দারাজের কাপড় এতোটা বাজে হবে কখনো ভাতেও পারিনি ছিঃ খুব ই বাজে ছিল,,,,কেউ নিবেন না,,,আমার মত নিয়ে ঠকবেন না
দারাজ থেকে কেউ কখনো পোষাক কিনবেন না,,,,এছাড়া টুক টাক অন্য জিনিষ নিতে পারেন,,,,আরেক টা কথা,,প্রতিটা পন্যের সাথে রিটার্ন রিফান্ড লেখা থাকলেও  এরা কিন্তু রিটার্ন নেয় না,,,,আমি রিটার্ন পলিসি অনুযায়ী  সবকিছু করেছি এরা কোনো রিসপন্স করেনি,,,, ",5,03 Dec 2024,341
অর্ডার করলাম গরমের জন্য L size & L size মানে ২৬ ইঞ্চি এটা তো আমার বাচ্চার জন্য পারফেক্ট এ-ই গেঞ্জির টাইটেল দেয়া উচিত ছিলো বাচ্চাদের জন্য গেঞ্জি ,5,28 Jun 2025,144
"কাপড় বেশ সফট,পড়তে আরামদায়ক। বডি সাইজ ৩৬ ইঞ্চি পর্যন্ত যাদের তারা অনায়াসেই পড়তে পারবেন। ৫০ টাকায় এর থেকে ভালো কিছু আশাই করা যায় না। দাম হিসেবে অনেক ভালো প্রোডাক্ট। আমি একসাথে ৭ টা নিয়েছি। কোনোটাতেই কোনো ডিফেক্ট ছিলো না। ধন্যবাদ জানাচ্ছি সেলার ও দারাজকে ",5,14 Oct 2024,252
"A few minutes ago I been received my parcel, I always order in DARAZ but time I'm very very disappointed B'coz the size that I wanted is not the same. and most of all one of that had a thorn.(Damaged)
 ",5,12 Aug 2025,202
 এটা আমি নিয়েছিলাম আমার বউয়ের জন্য। কিন্তু এটা অনেক ছোটো হয়ে গেছে আমি এটা ফিরিয়ে দিতে চাই। ,5,04 Jul 2025,91
"গেঞ্জির কাপড় টা অনেক সুন্দর অনেক স্পট, তবে সাইজটা তুলনামূলক ছোট আরেকটু বড় হলে ভালো হতো  ",5,25 Sep 2024,90
জিনিসটা অনেক ভালো। আমার কাছে ভাল লাগল। তবে সাইজের একটু ছোট হলে ভাল হত। thanks  ,5,13 Oct 2025,79
"size choto,tight hocce,, tobe valo mone holo dam onojayi ",5,20 Oct 2025,57
অনেক ভাল গেঞ্জিগুলো। ব্যবহার করে নিশ্চয়ই ভালো লাগবে।  ,5,18 Sep 2025,55
আলহামদুলিল্লাহ। খুবই ভালো প্রডাক্ট। দারাজ থেকে প্রডাক্ট কিনে আল্লাহর রহমতে এখন পর্যন্ত ঠকি নাই। তাই ধন্যবাদ দারাজ কে ও সেলার ভাইদেরকে।,5,12 Sep 2023,134
3 pitch er poriborte 2 pitch pathiye dilen kno vai ,5,28 Nov 2024,51
allhamdulellah 🙂jemon chaysi tar theke valo ponno payse ☺️kalke hathe pelam revew ta dete ektu late Holo product valo chayle apnaraw nete paren 🥰 thanks daraz and selar k..🥀🥀,5,29 Jul 2023,174
"Alhamdulillah! 
Very nice product at very low price Even more beautiful than in the picture. 100% cotton fabrics. Comfortable wear. I am completely  satisfied with the product. 
Seller response, product price, product quality, packaging, managing, timely product handover, delivery, all in one word excellent! 
Thanks to the seller and their whole team who helped in this process. 
Good luck!!! ",5,20 Jun 2023,395
"দুই টাই এক কালার,ময়লা আর সাইজে ছোট। একদম বাজে। ",5,22 Aug 2024,47
I loved it and this tank top was very comfortable ,5,14 Sep 2023,50
"the product is very nice, I'm satisfied ",5,26 Aug 2023,40
same as shown  ,5,04 Aug 2024,15
"একদম ফালতু এদের থেকে কোন কিছু নেওয়াই উচিত না। 
বলছিলাম L সাইজ দিছে S সাইজ তাও আবার ফালতু কাপড় কোয়ালিটি এত খারাপ। 😡😡😡😡
ওদেরকে জুতা দিয়ে মারা উচিত। শালারা ব্যবসার নামে ভন্ডামী শুরু করে দিসে অনলাইনে। ",5,13 Jun 2023,201
যে সাইজ দিয়েছে তা পড়ার যোগ্য না। আপনারা মহিলার সাইজ বলে ২ বছরের বাচ্চাদের সাইজ দিবেন এটা ঠিক না।দারাজ এর মেম্বার গ্রাহক হিসেবে এ সেলার দারাজের সুনাম নষ্ট করুক তা আশা করি না।,1,18 Jun 2023,173
আলহামদুলিল্লাহ প্রডাক্ট টা ভালোই ছিলো🥰আর  আমার কাছে অনেক ভালো লাগছে আর ডেলিভারি ম্যানের ব্যবহার টাও ভালো ছিলো 😊😊 ,4,31 Jul 2025,113
khub. valo Products💗very soon abr kichu daraz theke order korbo...eitai amr frist delivery silo daraz theke💗 ,5,14 Apr 2025,109
This is exactly what i want. but it is perfect for under 70 kg people. Thank you seller and daraz. ,5,27 Mar 2025,99
"মোটামুটি চলে একবারে খারাপ না,কিন্তু বাড়িওয়ালা দেখে আমার দৌড়ানি ও দিতে পারে 🥰🥰🥰",5,16 Jul 2023,78
 জঘন্য সার্ভিস। কালার চেয়েছি একটা দিছে আরেকটা। খুবই বাজে প্রোডাক্ট। কেউ নিবেন না।  ,5,14 Jul 2025,84
"j ta order korse oi products dey nai dese nimno man er low qualityr akta ganji.
 ",5,19 Nov 2025,81
"alhamdulillah onk valo product shobai nite paren 
dam onujai onk valo product  ",5,17 Aug 2025,79
khub e valo..ami vabte o parini ato sundor hobe..colour gulao gub e sundor..,4,23 Jul 2023,76
ধন্যবাদ! যেমনটা বলে দিয়েছিলাম ঠিক তেমনটাই। এবং প্রাইস হিসেবে খুবই কোয়ালিটিফুল,5,07 Aug 2023,77
Ami vebhechilam boro hobey ebong loose hobey... kintu khubi choto r tight ,5,25 Jul 2025,74
nice,5,21 Dec 2023,4
দুই টি অর্ডার করেছি হাতে পেয়েছি মোটামুটি ভালো যারা নিতে চান নিতে পারেন  ,5,10 Sep 2025,73
দাম অনুযায়ী পণ্যের মান অনেক ভালো। কাপড়ের কোয়ালিটি ও ভালো ছিল।  ,5,12 Aug 2025,66
"আলহামদুলিল্লাহ সুন্দর যেমন চাইছিলাম তার থেকে অনেক বেশি সুন্দর।

 ",5,19 Dec 2025,65
kapor size thik ache .but black clr ta Dile ro vlo hoto🪄 ,5,27 Oct 2024,57
good product. tnx daraz.. shbai kinte pren..khub vlo... ,5,12 Dec 2025,56
পণ্য খারাপ না। দাম হিসেবে ঠিক আছে নিতে পারেন সবাই। ,5,19 Sep 2025,51
আমি একটা নিছি অনেক ভালো এবং পড়তে অনেক আরামদায়ক।  ,5,20 Sep 2025,49
bad quality  😠😡😠😡😠😡😠😡😠😠,5,28 Aug 2023,23
size choto ar mne hoilo rejected product dise ,5,27 Sep 2024,46
কাপড় টা খুবই সফট।যেমন চেয়েছিলাম।তেমনই পেয়েছি। ,4,26 Sep 2025,46
অনেক সুন্দর 🥰🥀,5,03 Oct 2023,14
Is it L size? Batpar seller.,1,07 Sep 2023,28
অনেক ভালো কিন্তু একটা ছোট হয়ে গেছে  ,5,11 Sep 2025,37
"good products. 
",4,13 Sep 2023,16
very setisfied! i really liked it  ,5,30 Apr 2025,35
very nice ,5,16 Jun 2023,10
সেলাই তেমন ভালো না। বাকি সব ok  ,4,16 Nov 2024,32
"Product valo na, sira product diyase, or color oh valo dei nai, jara jara niben dekhe sune niben, amar purai loss",1,09 Apr 2024,113
2 টা দিসেন। দেয়ার কথা 3 টা। ,5,19 Jun 2025,29
sobaoi nite paren mal valoi ,5,10 Dec 2024,28
"khubi valo product.,... 😍 ",5,04 Nov 2025,26
atar quality kubeee balooo ,5,08 Oct 2025,27
"ভালো না 
নরমাল ভালো না  ",5,12 Oct 2025,24
size shob thik thk ache ,5,09 Mar 2025,24
সবচেয়ে বাজে প্রোডাক্ট  ,5,01 Aug 2025,23
"Better Product,Thanks  ",5,27 Sep 2025,23
quality Full products  ,5,09 Jul 2025,23
দামে কম মাণে ভালো 🥰 ,5,01 Nov 2025,20
খুব ভালো প্রোডাক্ট  ,5,14 Oct 2024,20
ভাল সবাই নিতে পারেন ,5,17 Jun 2025,20
কোয়ালিটি মোটামুটি  ,5,16 Jul 2025,19
it’s good product  ,5,27 Jul 2025,19
very nice product ,5,15 Jul 2025,18
খুব ভালো হয়েছে  ,5,4 weeks ago,17
খুভ ভালো।এবং সফট ,5,13 Jan 2026,17
মাশাআল্লাহ ভালো  ,5,07 Oct 2025,17
ভালোই কিন্তূ ছোট ,5,16 Aug 2025,17
আলহামদুলিল্লাহ  ,5,07 May 2025,16
very nice😍😍😍 ,5,17 Jan 2026,13
ছোট হয়ে গেছে  ,5,13 Sep 2025,15
good products  ,5,14 Nov 2025,15
Good Quality  ,5,12 Jul 2025,14
Comfortable  ,5,29 Mar 2025,13
"পুরো ফালতু প্রোডাক্ট, সাইজ দিছে বাচ্চাদের 😡😡এমনটা আশা করিনি,, ",1,26 May 2024,62
nice ,5,22 Oct 2025,5
best ,5,23 Apr 2025,5
Good  ,5,24 Oct 2024,6
Good 😊  ,5,20 Jul 2025,8
ভালো আছে  ,5,08 Dec 2025,10
Good ,5,03 Jul 2025,5
nice ,5,18 Nov 2024,5
চলে ,5,18 Nov 2025,4
gd ,5,09 Nov 2025,3
valo ,5,03 Jul 2024,5
যেটা চেয়েছিলাম সেটা না । তবে প্রডাক্ট ভালো ।,4,24 Apr 2024,44
amar order er SS diye bar bar request korechi skin color ar mejenda color dite.. batpar seller .. aibhabe manush thokiye beshi din khaite parben na. ,1,26 Nov 2023,149
অনেক ভালো কিন্তুক ডেলিভারি দিছে অনেক দেরিতে ,5,07 Apr 2024,44
"অর্ডার করছি সাদা আর গোলাপি দিসে এই ২টা। L সাইজ বলছিলাম, এটা নাকি L সাইজ। বাচ্চাদের গেঞ্জি এইগুলা। বড়রা কেউ নিবেন না। সেলাই ও তেমন ভালো না। সুতা রয়ে গেছে। খুবই বাজে প্রডাক্ট।",1,18 Nov 2023,173
onk vlo silo,5,19 May 2024,12
"অনেক ভালো হয়েছে ☺️
",5,03 Apr 2024,20
products ta khub e bhalo Amar bhalo legeche dam onujai. thik ache chaile apnara nite paren,5,19 Apr 2023,90
ব্যাবহার করে রিভিউ দিচ্ছি ভাল কাপড় অনেক আরামদায়ক। কম দামে অনেক ভাল জিনিস।,5,08 Sep 2023,75
কালার চাইছি একটা পেয়েছি আর সমস্যা নেই ,4,20 Nov 2023,39
good,5,06 Jan 2024,4
গেঞ্জী গুলির কাপর যথেষ্ট পরিমানে ভাল এবং সেলাই মান সম্মত,5,02 Sep 2023,56
"eto komdame Valo maner under wear.comfortable,nite paren ",5,19 Jun 2023,57
nice ,5,21 Dec 2023,5
"আপনারা নিতে পারেন, ",5,13 Dec 2023,19
Average. ,3,08 Apr 2025,9
Good quality. ,4,07 Dec 2023,14
মোটামুটি টাকার উপর ডিপেন্ড করে মালামাল,1,16 Oct 2023,38
"Onk vlo products paici
caile nite paren",5,14 Sep 2023,39
amke message e bollo white deya jabe dekhi red,1,13 Jul 2023,46
onk bhalo kapor...r ami sbaike recommend korbo...,5,03 Sep 2023,49
kapor gulo khub Valo chilo Amar wife like koreche,5,20 Jul 2023,49
"same as picture,thanks to daraz and seller ",5,26 Aug 2023,43
Product ta khub ei valo...thanks for sellar,5,15 Jun 2023,43
valoi cilo,5,23 Nov 2023,10
onk sundhor genjita,4,08 Nov 2023,19
"Alhamdulillah! 
New and fresh product! 
Good product at very low price even more beautiful than in the picture. 
I am 100% satisfied with the product. 
Seller response, product price, product quality, packaging, managing, timely product handover, delivery, all in one word excellent! 
Good luck to the seller!",5,28 Feb 2023,309
ai product ta kub valo sobai nite paren,5,28 May 2023,39
ধন্যবাদ দারাজকে ভাল মানের দেওয়ার জন্য,5,09 May 2023,37
"পন্য ছিরা ছিল  very bad
",3,20 Jun 2024,24
alhamdulillah valo silo,5,04 Sep 2023,23
অসাধারণ যেমনটা চেয়েছি এর চায়তে অনেক ভালো পেয়েছি......  কাপরে শেলাই অনেক ভালো ,5,02 Mar 2023,77
nice 🙂,5,28 Apr 2023,6
Good ,5,31 May 2023,5
নাইস প্রোডাক্ট ,5,28 Aug 2023,15
good,5,22 Apr 2023,4
good product 🥰,5,09 Aug 2023,14
Not good😒,5,18 May 2023,9
it's very comfy to wear. . I'm very satisfied with it 💖💖,5,20 Mar 2023,56
order korlam black and white dilen red r brown 😡 abar cherao😡😡😡 ,1,14 Sep 2025,64
সাইজ ঠিক দেয়নি। Too small!,3,31 Mar 2024,26
"2 ta same colour diyece ta o abar black Ron jola 
keno kinben na ",1,29 Nov 2024,65
অর্ডার দিয়েছি ৩পিস দিয়েছে এক পিস ফ্রড সেলার রেসপন্স করে না ফালতু ,1,17 Sep 2025,65
Multi colour bolse but same colour e dise shob😑😑😑 ,1,20 Sep 2024,50
ভালো ,3,15 Feb 2024,5
খুইবি সুন্দর কাপড়,3,23 Nov 2023,17
2 ta odar kore cilam ekta valo r ekta cira cilo.....eita thik na...,2,13 May 2024,67
"This is not for women, for children. Delivery agents of Daraz collection point of Mugda were very much rude & unprofessional.",2,18 Nov 2023,125
it's too good 😊 to wear . ,3,18 Aug 2023,26
Vague product ,1,10 Nov 2025,14
বাজে কোয়ালিটি ,1,2 weeks ago,14
মোটামুটি ভালো কয়েক দিন ব্যবহার করার পর একটা ছিড়ে গেছে,1,23 Apr 2024,55
😡 ভালো না ,1,22 Aug 2025,10
ভালো না  ,2,22 Aug 2025,9
পুরাই পালতু। আন্ডার ওয়ার গুলো ব্রার সাইজ থেকেও ছোট। দেখে মনে হচ্ছে ৬/৭ বছরের মেয়ের জামা। কেউ কিনবেন না। ,1,29 Aug 2023,104
দেখানো হইছে বড় এখন দেখি ছোট কিরে ভাই এইটা কি তোর মেয়ের জন্য দিছত ফাইজলামির তো একটা লিমিট থাকে,1,08 Sep 2023,95
basi valo na salai valo na size coto aktu tan lagly e salai cuita jay,1,29 Oct 2023,69
"অর্ডার দিছি ৩ পিছ, দিছে ২ পিছ চিটার একটা 
প্রোডাক্টও ভালো না। ",1,16 Oct 2023,62
"purai faltu jinish 10-20 takar o na 😑
waste of money!",1,18 Nov 2023,53
man valo na...are onekta choto..aguli bacchader jonno parfect,2,26 Sep 2023,61
একটা দেখে আরেকটা দেয়া হয়েছে,1,04 Mar 2024,29
বাজে একটা পূর্ণ ফালতু এক্কেবারে বাজে এ দিয়ে জুতো মুছা যাবে না ,1,19 Sep 2023,63
Did not get the colours I was promised nor the size I picked.,1,04 Aug 2023,61
nice kinte paren,1,13 Mar 2024,16
