review_text,rating,date,review_length
"চাইলাম মেরুন কালার অথচ সেন্ড করা হয়েছে লাল। 
খুবই দুঃখজনক ভাই এতে দারাজের রেপুটেশন ক্ষুন্ন হয়।
মানুষ দারাজ থেকে পণ্য কেন বন্ধ করে দিবে 😥 ",5,22 Jan 2026,139
very nice and comfortable perfect recommendation  ,5,2 weeks ago,50
Thankyou for product and gift. 🎁  ,5,03 Dec 2025,34
valo ,5,27 Dec 2025,5
Product was very good but i ordered 3 they gave me 1 and delivery charges was very high overall very good product i will order again next time🥰🥰 ,5,3 weeks ago,145
"এতো অল্প টাকায় এরকম প্রোডাক্ট পাবো আশা করিনি।
ধন্যবাদ সেলারকে ",5,10 Dec 2025,62
"good onk onk vhlo products tnq daraz
 ",5,6 days ago,38
good onk onk vhlo products tnq daraz ,5,6 days ago,37
"জিনিস ভালো, আপনারা চাইলে নিতে পারেন। ",5,6 days ago,37
vlo na ekto o  ,5,3 weeks ago,15
good  ,5,19 Dec 2025,6
valoi ,5,04 Jan 2026,6
ভেরি নাইস ,5,1 week ago,10
