review_text,rating,date,review_length
প্যাকেজিক ঠিক করতে হবে।দারাজকে ডেলিভারিতে ফোকাস করতে হবে। ডেলিভারি ম্যান বেয়াদব  ,4,14 Apr 2025,81
অনেক সুন্দর একটি প্রোডাক্ট খুব সীমিত দামে তাইলে আপনারা সবাই নিতে পারেন  ,5,15 Sep 2025,72
প্যাকেটের রংটা আলাদা হলেও জিনিস ঠিকঠাক ছিল। ,5,05 Dec 2025,44
ডেলিভারিতে আরও যত্নবান হওয়া দরকার ছিলো। ,5,22 Jul 2025,40
valo❣️💪😾,5,30 Nov 2023,8
সেন্ট  অনেক ভালো  ,5,10 Nov 2025,18
packaging : 5/5 ,5,06 Aug 2025,16
Good product 💯 ,5,14 Nov 2025,15
"প্যাকেটের অবস্থা শোচনীয়, এটা কি টেবিলে রাখা যায় ম্যাহমানের সামনে 😡

খুব খারাপ, আমি box unboxing full video রাখছি
 prove হিসেবে। 
লাগলে seller কে দিবো",3,09 Aug 2022,149
এই কিছু প্যাক নেয়া সম্পূর্ণই বোকামি। টিস্যুগুলোর কোয়ান্টিটি বা কোয়ালিটি অরজিনাল বলে মনে হয় না আমার। এগুলো সম্ভবত চকবাজার অর্ডার দিয়ে বানানো। ,5,12 Apr 2025,146
প্রোডাক্ট আলহামদুলিল্লাহ ভালো। কিন্তু ডেলিভারি ম্যানের ব্যবহার অনেক খারাপ উনি আমার দেওয়া লোকেশন থেকে প্রায় দুই কিলোমিটার দূরে যেয়ে প্রডাক্ট রিসিভ করতে বলে নতুবা ওনাকে টিপস দিতে হবে । দারাজের উর্ধ্বতন কর্মকর্তাদেরকে দৃষ্টি আকর্ষণ করছি যেন এই ডেলিভারি ম্যান কে পরিবর্তন করা হোক। এই ডেলিভারি ম্যান থাকাকালীন আমি আর কোনো প্রোডাক্ট কিনবো না । ,5,07 Apr 2025,341
"packaging khub e baje, box theke tissue gula ber kore polythene e dileo parten. No recommended...  ",1,18 Nov 2024,99
কিছুটা ডেলিভারি করার সময় খুব খারাপ পরিস্থিতি ছিল  এত খারাপ ডেলিভারির জন্য আমি এটা আশা করিনি ,5,12 Apr 2025,93
"Very well packaged. came on time. no damage.
thanks ",5,13 Nov 2025,52
এখনও ব্যবহার করিনি ব্যবহার করে তারপর রিভিও দেয়া হবে ,5,31 Jul 2025,52
এককথায় অসাধারণ।। কিন্তু বক্সটা একটু চ্যাপ্টা হয়ে গিয়েছিলো,5,19 Mar 2020,57
"hm asolei valo eita sobai nite paren
💞

 ",5,19 Jul 2025,41
"টিস্যুর প্যাকেট টা একটু ছেঁড়া, এ ছাড়া বাকি সব ঠিক আছে।",3,26 Sep 2019,56
very very very very very very nice!! ,5,08 Mar 2025,37
4 ta order diyechilam 3 ta diyeche… ,1,12 Sep 2024,36
পাকেজিং কোয়ালিটি খুবই খারাপ ,2,30 Sep 2019,28
মোটামুটি মানের ,4,03 Dec 2025,15
good one. Nice,5,14 Nov 2025,14
good item.  ,5,11 Nov 2024,12
Good ,5,12 Nov 2025,5
soft  ,5,07 Aug 2025,6
বেশ ভালো  ,5,15 Nov 2025,10
not bad  ,5,14 Apr 2025,9
good ,5,24 Nov 2025,5
good ,5,07 Apr 2025,5
good 😊 ,5,12 Nov 2025,7
ভালো  ,5,11 Jul 2025,6
good product,5,06 Jan 2020,12
অনেক লেট এ ডেলিভারি পেয়েছি। প্যাকেট মোচড়ানো। ,4,02 Apr 2024,45
good one,5,02 Feb 2020,8
অনেক সুন্দর ভাবে পেয়েছি ,3,12 Apr 2025,25
Product comes in a good condition. Seems the product is okay and original. Good smell. Recommended. ,5,09 Mar 2019,100
"আমি সব ঠিক ঠাক পেলাম কোনও সমসা হয়নি
ধন্যবাদ দারাজকে এত সুনদর ডেলিভারি দেওয়ার জন্য",5,28 Apr 2020,81
Ok,5,17 Apr 2023,2
baje product...ato patla.. r perfume to nai!!!,5,25 Mar 2020,46
Good product. Fast Delivery. Nice Packaging.,5,28 Aug 2019,44
quality valo. price tao reasonable. ,5,16 Nov 2021,36
One...of the best product...on daraz,5,10 Sep 2019,36
"Good Products. Seller recommend 
",5,09 Mar 2020,33
The box is damaged and the side corner is torn. ,2,14 Apr 2025,48
Best Tissue... Good product 💒,4,02 Mar 2019,29
Less price than market!!!!,5,07 Sep 2022,26
box chapta hoiye gasilo,4,13 Nov 2020,23
Very good. Thanks.,5,09 Sep 2019,18
মোটামুটি ভালোই! ,5,31 Jul 2019,16
