review_text,rating,date,review_length
"সবথেকে খারাপের প্রোডাক্ট যা চেয়েছিলাম তা দেয়নি আমাদের বাড়ি থেকে ওয়্যারহাউস  অনেক দূরে রিটার্ন ও করতে পারি নাই। 

কেউ এখান থেকে কিনবেন না   ",5,04 Dec 2024,143
"প্রোডাক্টটা ভালো 🙂 তবে এটা স্টাইল করার জন্য সুন্দর 

কিন্তু শীতের জন্য যে কিনবেন কাপড়টা পাতলা শীতের মানে পাতলা কাপড়ের শীত অত ভালো হবে না আপনি চাইলে কোন জায়গায় ঘুরতে গেলে বা বিভিন্ন জায়গায় গেলে এটি পড়তে পারেন ভালো চয়েজ হবে আপনারা নিতে পারেন নিঃসন্দেহে দাম অনুযায়ী কাপড়টা একটু পাতলা এছাড়া কোন সমস্যা নেই যেমন চেয়েছিলাম তেমনি পেয়েছি আলহামদুলিল্লাহ ",5,17 Dec 2025,358
পুরাই ফালতু আমি অর্ডার দিয়েছি রেড কালার আর দিছে আমাকে এটা বেইমানীর একটা সীমানা থাকা দরকার সেটা আপনারা পার হয়ে গেছেন ,5,22 Nov 2024,118
"💞প্রোডাক্টটির দাম হিসেবে অত্যন্ত ভালো। শুধু একটি সমস্যা, প্যান্টের সামনে চেইন নেই ।এবং জ্যাকেটের পকেট নেই।",4,13 Nov 2023,106
"একদম ফালতু একটা প্রোডাক্ট যা ভাবছি তেমন কিছুই না,, ৭২৫ + ১০০ টাকাই আমার লস ",5,08 Mar 2025,75
ধন্যবাদ সেলার কে এত সুন্দর হুডি দেওয়ার জন্য।  আপনারা নিতে পারেন।   ,5,15 Nov 2024,67
"good product.
but fisical color is not same.
so I give 4 ⭐ ",5,21 Dec 2024,59
Anek valo products seller ar behavior anek valo  ,5,28 Dec 2024,49
My name is Toki osmani This product is good  ,5,28 Sep 2025,45
দারাজকে অনেক ধন্যবাদ সুন্দর হয়েছে ,4,14 Nov 2023,34
ভালোই খারাপ না নিতে পারেন  ,5,29 Nov 2024,27
Nice hote#like#me ,5,19 Dec 2024,18
"Produck ta valo
 ",5,01 Jan 2025,17
Balo podak,5,23 Nov 2023,10
Balo podak. ,5,23 Nov 2023,12
"মোটামুটি ভালো আছে। দাম একটু বেশি।  কাপড় অনেক পাতলা।
দেখতে তেমন আহামোড়ি না ",3,16 Nov 2024,74
"It was too good. The clothes are nice and comfortable
",5,15 Dec 2023,54
khubi valo product. jemon ceyecilam temoni peyeci. kintu size mil nai. Ami cailam L size amake M size dise. 😡 ,5,21 Nov 2025,110
প্রোডাক্ট ভাল কিন্ত হুডি ও  টাউজার দেওয়ার কথা থালেও টাউজার দেওয়া হয়নি এই সিটিং এর বিষয়ে আমি দারাজ কর্তৃপক্ষের দৃষ্টি আকর্ষণ করছি  ,5,02 Jan 2025,133
অনেক ভালো এবং আমি জে রং চাইছি ভাইয়ারা সেই রং দিছে এবং ভাইয়াদের ব্যাবহার অনেক ভালো আপনারা নিতে পারেন আমি লাল রং এরটা নিছিলাম ,5,31 Oct 2025,124
অনেক ভাল পণ্য অসংখ্য ধন্যবাদ ভাইকে এভাবে আমাদেরকে সহযোগিতা করে যাবেন আপনাদের ব্যবসা সুফল পাক ,5,25 Sep 2024,93
খুবই বাজে আমি অর্ডার করছিলাম হলুদ দিয়ে দিছে লাল আর শিতের জন্য কাপড়ের কোয়ালিটি এতটা ভাল নয়  ,5,15 Dec 2025,91
যেমন দেখছি অনেক ভালো কিন্তু আসতে একটু সময় লাগছে,1,18 Nov 2023,47
"এটার সাথে ট্রাউজার থাকার কথা ছিল ট্রাউজার পাই নাই।
এখন আমি একটা রিটার্ন করে দেবো। ",1,02 Dec 2024,82
মটামটি ভালো টাকা হিসাবে ভালোই আছে,4,19 Nov 2023,33
দাম হিসেবে জ্যাকেটটা অনেক সুন্দর হয়েছে আমার ছেলের ভীষণ পছন্দ হয়েছে ,5,12 Dec 2024,69
ভালো মাল,5,01 Dec 2023,8
Same as I wanted. ,5,15 Nov 2023,18
I ordered the color but you sent a different color. ,5,20 Jan 2026,52
I don't get the trouser. What I Supposed to Do now? ,5,04 Jan 2025,52
Alhamdulillah jemon caichi temon ei peyechi 🙃🙂 ,5,12 Dec 2024,47
He is Big size L My size M  Repliya my jacket  ,5,04 Jan 2025,47
অনেক সুন্দর এবং ভালো ছিলো আপনারাও নিতে পারেন  ,5,22 Nov 2025,46
it was good quality I like it so much ,5,19 Dec 2024,38
good but didn't like the tag hanging ,5,20 Sep 2025,37
🤬🤬🤬😡😡এত বাজে ভাই কেউ নিবেন না  ,5,30 Nov 2024,31
চেন থাকলে ভালো হতো প্রোডাক্ট ভালো ,5,24 Oct 2025,34
onak Valo cilo love it 💜💜 ,5,21 Jan 2025,26
It’s good but average  ,5,21 Nov 2024,23
Colour change hoise ,5,4 weeks ago,20
dam onusare bhalo ,5,19 Dec 2024,18
পেন্ট দেয় নাই  ,5,17 Jan 2026,15
nice product! ,4,15 Dec 2024,14
Pent pai nai ,5,01 Nov 2024,13
প্যান্টের চেইন নেই  ,5,23 Aug 2024,20
ভালোই পাইছি ,5,19 Dec 2024,12
nice ,5,17 Nov 2024,5
"ভালো 
 ",5,28 Jan 2025,7
good ,5,14 Feb 2025,5
সুন্দর  ,5,12 Dec 2025,8
